pID,cond_int,effort,cond_stp,velo
p28,rpe,50,crow,NA
p28,rpe,50,crow,NA
p28,rpe,50,crow,NA
p28,rpe,50,crow,NA
p28,rpe,50,crow,NA
p28,rpe,50,step,NA
p28,rpe,50,step,NA
p28,rpe,50,step,NA
p28,rpe,50,step,NA
p28,rpe,50,step,NA
p28,rpe,75,crow,NA
p28,rpe,75,crow,NA
p28,rpe,75,crow,NA
p28,rpe,75,crow,NA
p28,rpe,75,crow,NA
p28,rpe,75,step,NA
p28,rpe,75,step,NA
p28,rpe,75,step,NA
p28,rpe,75,step,NA
p28,rpe,75,step,NA
p28,rpe,100,crow,NA
p28,rpe,100,crow,NA
p28,rpe,100,crow,NA
p28,rpe,100,crow,NA
p28,rpe,100,crow,NA
p28,rpe,100,step,NA
p28,rpe,100,step,NA
p28,rpe,100,step,NA
p28,rpe,100,step,NA
p28,rpe,100,step,NA
p28,velo,50,crow,NA
p28,velo,50,crow,NA
p28,velo,50,crow,NA
p28,velo,50,crow,NA
p28,velo,50,crow,NA
p28,velo,50,step,NA
p28,velo,50,step,NA
p28,velo,50,step,NA
p28,velo,50,step,NA
p28,velo,50,step,NA
p28,velo,75,crow,NA
p28,velo,75,crow,NA
p28,velo,75,crow,NA
p28,velo,75,crow,NA
p28,velo,75,crow,NA
p28,velo,75,step,NA
p28,velo,75,step,NA
p28,velo,75,step,NA
p28,velo,75,step,NA
p28,velo,75,step,NA
