kww	// User ID
12-5-2021	// Evaluation date
p10_warmup_017	12-5-2021	13:00:35:180	// Source file name and timestamp
238.095	// Sampling rate
0.746	// Data capture period

1.850000	// height
82.300000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	0.882561	-0.622760	3.405090	12.038080	1.026794	-12.038080	-9.748141	10.992419	5.040422	-10.992419	-15.556280	3.406752	
1	1.595194	-0.593765	3.413324	12.341364	1.359505	-12.341364	-11.230127	8.596305	8.029432	-8.596305	-25.191149	3.473983	
2	2.188544	-0.628463	3.411610	13.680471	1.736429	-13.680471	-13.289447	7.705768	10.667461	-7.705768	-33.697184	3.519559	
3	2.542012	-0.548685	3.405372	12.158264	1.481073	-12.158264	-10.968654	2.404644	12.024314	-2.404644	-38.015200	3.547800	
4	2.679821	-0.468712	3.403385	10.256163	0.985242	-10.256163	-7.355668	-3.190050	12.438312	3.190050	-39.277634	3.566202	
5	2.666003	-0.355540	3.409793	8.785791	0.356368	-8.785791	-2.773084	-8.678575	12.159123	8.678575	-38.369413	3.580207	
6	2.574463	-0.224201	3.426757	8.145762	-0.246863	-8.145762	1.816824	-13.250700	11.542506	13.250700	-36.485745	3.593861	
7	2.441034	-0.129165	3.454517	7.872418	-0.753431	-7.872418	5.680185	-16.477084	10.811135	16.477084	-34.377609	3.609133	
8	2.290385	-0.106503	3.491470	7.655026	-1.134695	-7.655026	8.395298	-18.178294	10.117899	18.178294	-32.545344	3.626036	
9	2.142149	-0.158311	3.534155	7.408118	-1.393587	-7.408118	9.897437	-18.508717	9.541410	18.508717	-31.222620	3.643425	
10	2.015920	-0.277174	3.578375	6.888343	-1.541463	-6.888343	10.237772	-17.782693	9.124496	17.782693	-30.529447	3.659785	
11	1.920149	-0.457896	3.620647	5.701650	-1.590142	-5.701650	9.536639	-16.267972	8.857135	16.267972	-30.455047	3.673430	
12	1.857075	-0.671739	3.658828	3.746299	-1.553504	-3.746299	8.142557	-14.309395	8.671509	14.309395	-30.849941	3.682867	
13	1.843132	-0.836255	3.691867	1.620756	-1.441196	-1.620756	6.643112	-12.492524	8.498285	12.492524	-31.557231	3.687618	
14	1.888986	-0.873496	3.719478	0.267767	-1.270708	-0.267767	5.497587	-11.267798	8.315355	11.267798	-32.455573	3.688571	
15	1.968525	-0.790100	3.741974	0.117618	-1.082607	-0.117618	4.802970	-10.603307	8.123929	10.603307	-33.391279	3.687193	
16	2.037807	-0.648540	3.760072	0.941848	-0.919848	-0.941848	4.467165	-10.197975	7.903523	10.197975	-34.177512	3.684648	
17	2.075864	-0.491977	3.774662	2.308710	-0.802939	-2.308710	4.381642	-9.851610	7.640835	9.851610	-34.720452	3.681631	
18	2.092466	-0.329976	3.786450	3.800465	-0.732126	-3.800465	4.425710	-9.565558	7.365677	9.565558	-35.086606	3.678376	
19	2.111188	-0.164015	3.795732	4.992466	-0.689861	-4.992466	4.428650	-9.421402	7.133566	9.421402	-35.454004	3.674573	
20	2.165548	0.003075	3.802676	5.454301	-0.629818	-5.454301	4.155156	-9.489648	7.015050	9.489648	-36.138788	3.669248	
21	2.276876	0.164417	3.807830	5.096428	-0.505394	-5.096428	3.500544	-9.726115	7.053549	9.726115	-37.413017	3.660607	
22	2.397817	0.285428	3.812207	4.599465	-0.357612	-4.599465	2.748763	-9.746756	7.198072	9.746756	-39.031385	3.646353	
23	2.419202	0.310161	3.816978	5.041644	-0.341235	-5.041644	2.390610	-8.939357	7.356595	8.939357	-40.241405	3.624766	
24	2.280417	0.227055	3.823347	6.803969	-0.587129	-6.803969	2.618982	-7.122771	7.522628	7.122771	-40.496587	3.595735	
25	2.064210	0.107001	3.832478	8.906045	-1.020374	-8.906045	3.089182	-5.018444	7.789765	5.018444	-40.073917	3.560670	
26	1.919523	0.038106	3.845227	9.889499	-1.409676	-9.889499	3.335321	-3.698257	8.218000	3.698257	-39.686915	3.521269	
27	1.898120	0.039375	3.861893	9.238542	-1.623290	-9.238542	3.326663	-3.616615	8.750030	3.616615	-39.556604	3.478711	
28	1.946735	0.068216	3.882071	7.290623	-1.697663	-7.290623	3.328536	-4.516747	9.299564	4.516747	-39.391597	3.433825	
29	2.002692	0.075502	3.904667	4.487983	-1.715793	-4.487983	3.476052	-5.897409	9.863232	5.897409	-39.008324	3.387132	
